item,subj,onset,Exp,structure,position,ExpID
11,10,1055,3a,complex,below,1
11,9,2010,3a,complex,below,1
11,11,461,3a,complex,below,1
11,6,977,3a,complex,below,1
11,7,1152,3a,complex,below,1
11,2,1079,3a,complex,below,1
25,10,1194,3a,complex,below,1
25,9,1267,3a,complex,below,1
25,11,1160,3a,complex,below,1
25,6,NA,3a,complex,below,1
25,7,684,3a,complex,below,1
25,2,1367,3a,complex,below,1
37,10,803,3a,complex,below,1
37,9,1461,3a,complex,below,1
37,11,NA,3a,complex,below,1
37,6,835,3a,complex,below,1
37,7,NA,3a,complex,below,1
37,2,1024,3a,complex,below,1
5,10,774,3a,complex,below,1
5,9,1026,3a,complex,below,1
5,11,1728,3a,complex,below,1
5,6,976,3a,complex,below,1
5,7,799,3a,complex,below,1
5,2,1259,3a,complex,below,1
10,10,528,3a,complex,below,1
10,9,1611,3a,complex,below,1
10,11,1045,3a,complex,below,1
10,6,881,3a,complex,below,1
10,7,765,3a,complex,below,1
10,2,1025,3a,complex,below,1
21,10,1149,3a,complex,below,1
21,9,1573,3a,complex,below,1
21,11,1181,3a,complex,below,1
21,6,1067,3a,complex,below,1
21,7,777,3a,complex,below,1
21,2,982,3a,complex,below,1
36,10,1306,3a,complex,below,1
36,9,1344,3a,complex,below,1
36,11,1550,3a,complex,below,1
36,6,885,3a,complex,below,1
36,7,1071,3a,complex,below,1
36,2,1344,3a,complex,below,1
39,10,915,3a,complex,below,1
39,9,1536,3a,complex,below,1
39,11,1636,3a,complex,below,1
39,6,853,3a,complex,below,1
39,7,793,3a,complex,below,1
39,2,1100,3a,complex,below,1
45,10,1150,3a,complex,below,1
45,9,1084,3a,complex,below,1
45,11,1161,3a,complex,below,1
45,6,923,3a,complex,below,1
45,7,1039,3a,complex,below,1
45,2,1014,3a,complex,below,1
3,10,835,3a,complex,below,1
3,9,1441,3a,complex,below,1
3,11,1545,3a,complex,below,1
3,6,978,3a,complex,below,1
3,7,880,3a,complex,below,1
3,2,NA,3a,complex,below,1
20,10,809,3a,complex,below,1
20,9,1415,3a,complex,below,1
20,11,NA,3a,complex,below,1
20,6,913,3a,complex,below,1
20,7,733,3a,complex,below,1
20,2,1170,3a,complex,below,1
47,10,NA,3a,complex,below,1
47,9,1178,3a,complex,below,1
47,11,1593,3a,complex,below,1
47,6,1034,3a,complex,below,1
47,7,1061,3a,complex,below,1
47,2,999,3a,complex,below,1
13,10,1092,3a,complex,below,1
13,9,1329,3a,complex,below,1
13,11,1530,3a,complex,below,1
13,6,876,3a,complex,below,1
13,7,715,3a,complex,below,1
13,2,1429,3a,complex,below,1
19,10,638,3a,complex,below,1
19,9,1162,3a,complex,below,1
19,11,1073,3a,complex,below,1
19,6,1127,3a,complex,below,1
19,7,896,3a,complex,below,1
19,2,880,3a,complex,below,1
35,10,837,3a,complex,below,1
35,9,1126,3a,complex,below,1
35,11,1763,3a,complex,below,1
35,6,1444,3a,complex,below,1
35,7,745,3a,complex,below,1
35,2,955,3a,complex,below,1
1,10,777,3a,complex,below,1
1,9,1087,3a,complex,below,1
1,11,2293,3a,complex,below,1
1,6,1037,3a,complex,below,1
1,7,824,3a,complex,below,1
